salary,hra,lta,invest_80C,invest_80D,home_loan_interest,rent_paid,other_income,standard_deduction,taxable_income,final_tax
964647,201976,1606,38865,6432,20870,166548,258365,50000,906474,93794
1157179,275892,27775,91970,6731,169969,35313,45789,50000,636180,39736
1121535,305214,17931,32241,27646,31502,105068,220804,50000,913666,95233
2033611,783065,6973,131291,7395,134118,94031,296752,50000,1231466,181940
1992166,554338,35540,140424,16954,103220,156149,65082,50000,1227851,180855
1285408,461851,9577,121144,48691,165261,91890,215403,50000,663440,45188
1711312,418768,28219,48293,10844,175208,47284,108347,50000,1144764,155929
1109625,298960,19280,24326,45574,138483,171758,136661,50000,708222,54144
746440,55567,42779,33198,28202,85209,193246,253603,50000,790645,70629
1721926,166410,6975,43041,22133,139669,27319,193632,50000,1501279,262883
1702137,430444,43614,78142,48889,155325,145274,165218,50000,1148168,156950
2069400,390080,43079,93448,21437,126563,66300,127405,50000,1558355,280006
1522597,501823,41905,120519,12051,26915,82622,172039,50000,1025232,120069
1953820,469136,42265,25773,238,114018,64785,292329,50000,1629248,301274
1893608,679430,39350,121097,40484,166287,90492,164700,50000,1040359,124607
545599,212956,28271,86698,11725,115902,142030,187949,50000,284537,1726
1807009,183722,24734,142749,33761,13446,109760,189642,50000,1597706,291811
1195522,224984,44754,102951,2038,178142,66976,68488,50000,750648,62629
847904,239739,22397,33209,38184,81808,78320,284644,50000,712004,54900
366841,57565,44282,68556,25256,13135,23839,171522,50000,368132,5906
1963422,281675,34118,43300,10070,46769,151242,145631,50000,1711356,325907
419934,140597,45680,10318,2948,154554,45157,134862,50000,242058,0
1881734,739770,24068,87224,18863,38825,180943,50186,50000,1021305,118891
1385270,444437,16012,29282,3070,172711,38774,198073,50000,899854,92470
487068,113626,23441,86914,24491,46536,163957,35984,50000,224925,0
1080288,221328,12625,18076,39369,167411,86403,44563,50000,641291,40758
2448559,584903,7985,134615,5897,159028,43697,46197,50000,1568297,282989
1854243,393088,48767,57900,1468,106119,110588,206720,50000,1501154,262846
1101161,248874,46163,67912,40202,192233,135543,30413,50000,578515,28203
1535076,186064,22259,112636,46393,133466,62125,50117,50000,1078892,136167
828641,303539,40048,91649,18098,120653,23303,204110,50000,488859,11942
955356,300065,19414,398,6908,2041,156454,36077,50000,651434,42786
2099039,605241,17059,104182,30862,44858,177455,49794,50000,1330748,211724
1888846,722433,368,129026,24538,61377,47329,240542,50000,1142381,155214
286683,42870,39538,108256,20996,50023,54005,236788,50000,290863,2043
2464949,193266,27751,5433,37359,11847,14778,238090,50000,2432884,542365
1709410,579743,9395,58717,22892,137406,71534,17942,50000,887988,90097
574934,229655,36128,84186,4668,37198,104704,268230,50000,473584,11179
2052466,518147,17855,52892,4748,30422,89931,14816,50000,1428927,241178
1047583,73941,21735,6814,37164,80220,108190,156529,50000,977707,108041
714310,230839,27999,10538,48399,42938,120879,119077,50000,478671,11433
1488822,112870,19400,67738,29987,51693,7197,96854,50000,1292787,200336
807242,192934,17053,67189,22409,32138,118374,57069,50000,516693,15838
1018223,149817,5727,130372,46965,83528,130600,219022,50000,782289,68957
359373,133061,12611,66562,4703,34465,168190,126003,50000,209195,0
808988,168241,2008,147432,17452,6249,22477,164109,50000,585730,29646
1260540,459419,17210,70502,45186,151964,73599,215354,50000,716032,55706
1422304,219999,25025,67571,13417,68173,189207,198166,50000,1226334,180400
2283648,423792,41508,31584,33188,16761,65770,147233,50000,1917063,387619
1893909,722510,1634,58427,14599,181726,185920,284639,50000,1152919,158375
1729634,208351,7908,41555,17408,144435,137571,6231,50000,1282023,197106
1164424,293988,13623,57154,24135,123580,193034,106109,50000,735298,59559
1116491,207643,15548,46277,45014,133370,35788,247968,50000,897702,92040
1824745,585667,43072,848,20416,152037,168210,55848,50000,1114696,146909
2249117,214236,37487,39802,24605,86566,96489,88781,50000,1960175,400552
1169134,237363,4448,120622,37483,20076,111566,29329,50000,737366,59973
2105797,620423,48048,81859,4478,138302,180242,242715,50000,1501497,262949
1686803,324634,31299,104965,28756,168952,145054,165780,50000,1206574,174472
2435211,171648,1007,22975,47012,29439,106016,149292,50000,2264435,491830
692136,205418,13448,112461,26195,106586,160325,113412,50000,318335,3416
1932252,436919,10965,78829,6171,8145,175205,147027,50000,1510179,265553
761162,41070,7664,121286,41560,121034,155945,251093,50000,644968,41493
1157383,306046,30569,24389,41568,124486,20402,121963,50000,763425,65185
1380548,513506,19184,18754,46262,133394,49972,48868,50000,686683,49836
1636205,145391,13908,103268,43325,124073,982,221796,50000,1405851,234255
1197436,307423,13749,32199,43022,105722,138447,134920,50000,807738,74047
1567621,478177,23912,13439,45152,189375,151337,118095,50000,933484,99196
2464625,184281,5057,50088,21186,61190,102072,137013,50000,2239949,484484
1690351,97897,4461,67683,40831,48257,137616,123879,50000,1514022,266706
1821836,387082,35920,88863,10895,11807,135313,171012,50000,1480120,256536
2148917,702513,24222,83952,40814,75669,161116,163445,50000,1383635,227590
1108823,117814,29932,241,43609,123714,180658,57079,50000,860455,84591
989574,339248,35898,124972,29020,141107,67987,91181,50000,432305,9115
575437,161008,15869,37919,38804,39694,131522,77025,50000,340905,4545
2066760,343620,12625,88603,25438,178373,136423,170962,50000,1564312,281793
2341013,539694,5534,123629,42490,143064,128397,19326,50000,1466995,252598
2047001,794136,37237,47885,34399,183533,136923,77884,50000,1052168,128150
1122834,141199,36148,137868,15402,163503,128105,140013,50000,791022,70704
2099087,471953,1630,85980,20153,44455,182040,9263,50000,1437438,243731
693066,186136,9337,58801,47323,184379,60991,1769,50000,177532,0
869696,85495,10586,76967,11497,132585,156542,186662,50000,710399,54579
1943470,126777,23160,26736,36242,79426,161153,57420,50000,1704868,323960
370062,20246,32803,109168,40474,198075,99149,235126,50000,220027,0
1617741,264731,49876,83229,1891,132802,75781,71210,50000,1206173,174352
1282499,97318,26052,24109,19614,29951,91951,14197,50000,1101755,143026
2114445,700556,3297,35840,9729,45634,8791,14244,50000,1290226,199567
457609,182614,33658,51617,36840,181529,81635,206507,50000,195173,0
2262755,161688,43809,53434,41313,457,14416,230814,50000,2230485,481645
533006,107376,1400,70080,13114,15684,192539,17271,50000,295422,2271
2100924,123967,30268,4849,32670,189436,103277,38295,50000,1768564,343069
1864099,180625,13499,60481,21232,160057,126844,156386,50000,1561588,280976
1391452,226838,7919,130434,23881,41741,48994,56572,50000,983048,109109
1606256,301645,25602,2979,46391,192777,149758,158006,50000,1196071,171321
1480796,561109,36869,12208,2756,85128,23462,252893,50000,1059356,130307
363936,68617,7571,31431,30883,81637,48852,225335,50000,334273,4213
266279,59565,30467,62550,8306,181962,11944,22812,50000,0,0
1369962,186252,19044,34744,18966,144834,25331,260784,50000,1214993,176998
336124,16820,12596,40674,47142,108645,71042,94434,50000,179872,0
1666470,607873,22342,140426,36424,165669,180728,262493,50000,950912,102682
2162493,169972,11197,19433,15202,119590,42566,214255,50000,2013747,416624
2439063,945105,31227,5932,25925,182826,177920,9584,50000,1270085,193525
1243978,119167,47568,34512,22399,34765,90032,79582,50000,1110284,145585
697244,182473,3749,51427,26788,54338,35053,156277,50000,492243,12112
1519670,607554,27425,124600,45676,58629,142626,86691,50000,747326,61965
2307712,227223,39873,86033,12396,150505,176162,213719,50000,2035146,423043
487723,96754,23017,99334,29242,135183,68797,279875,50000,380101,6505
1709900,552551,23078,50372,29521,48427,117135,1521,50000,1003627,113588
1088927,66714,30184,110991,40132,146553,165056,268876,50000,973596,107219
332806,96987,46386,125892,16653,109951,64897,14996,50000,0,0
1528673,119436,21778,81993,43090,122096,54017,105112,50000,1238947,184184
1224334,162569,4703,143358,27442,178133,55610,26575,50000,694109,51321
1242144,131700,48983,41372,44681,1079,36905,109608,50000,1131902,152070
1988460,730893,600,46095,36528,97226,70370,90340,50000,1118657,148097
739709,83705,46326,24835,37428,90212,170639,170256,50000,670110,46522
1987821,127522,42519,33856,95,187306,124536,258711,50000,1890271,379581
687585,175794,25240,119879,5805,139962,21808,121286,50000,342670,4633
1067108,182649,47947,33755,27616,26834,52916,38394,50000,832594,79018
1100525,211297,37725,144000,22458,195444,144377,91762,50000,606812,33862
1739556,159468,47346,143865,45632,143183,160804,5973,50000,1250726,187717
748512,233447,28357,22235,9013,48711,25012,282477,50000,695939,51687
1017442,265088,22557,107650,3704,199773,173490,294149,50000,707932,54086
725278,128719,10231,35569,5689,167351,183883,78898,50000,427078,8853
2180440,239960,4576,120408,10918,158471,20183,49169,50000,1654427,308828
629593,162251,11982,88888,47450,123380,120961,263016,50000,432621,9131
744955,240254,22647,83300,13665,89700,22657,14956,50000,305638,2781
1534574,244517,30488,5578,26564,148365,195905,249665,50000,1339702,214410
1770180,104531,38780,126225,17358,197347,56590,267020,50000,1580518,286655
2132582,266616,40708,128105,37472,66403,175337,299113,50000,1923806,389642
1735183,501188,23041,55931,32151,121318,18917,105357,50000,1102992,143397
896045,354998,23631,9336,18610,144523,146546,238669,50000,580877,28675
1876528,102611,7526,37459,44118,42764,97964,205177,50000,1812278,356183
2152392,338256,37054,19206,10877,129485,80724,221119,50000,1862740,371322
1595205,114387,46715,110703,30976,99499,100306,220308,50000,1456662,249498
1558014,250407,18341,83344,7629,108218,153030,256917,50000,1333673,212602
2497680,479729,19472,10819,25307,179863,27899,92661,50000,1864094,371728
718011,267316,26654,38691,37093,79524,58322,192480,50000,464520,10726
996760,77942,46302,25309,5356,164522,129696,297167,50000,1017099,117629
548783,176706,5189,49152,29512,125551,6743,153989,50000,277039,1351
1387613,261477,1827,45814,45012,197464,163250,114459,50000,904131,93326
2365226,789848,43399,95522,25670,136455,97648,159351,50000,1470480,253644
1590683,365365,25692,56395,4934,58316,9979,69216,50000,1150580,157674
2050298,130703,2005,78224,33655,173634,65362,113368,50000,1699454,322336
2363213,900790,28695,105115,1866,123592,180484,189718,50000,1400262,232578
703222,55524,6590,147231,48004,98727,129956,251319,50000,561644,24828
2338618,606144,32935,37613,46698,199753,142296,128608,50000,1559952,280485
887790,317104,15105,17279,15546,178670,80130,129441,50000,453736,10186
1583520,123386,13587,92690,25099,10331,43609,214985,50000,1510585,265675
456548,111335,10192,96754,16474,73105,184458,292293,50000,411364,8068
1761252,596186,8480,59983,36019,23249,54026,291475,50000,1295769,201230
700983,277038,17421,31491,27527,39656,176646,227545,50000,520236,16547
2113062,641345,27061,146836,25653,231,20334,227318,50000,1503375,263512
1979004,291738,6198,56829,47008,2183,183619,263921,50000,1801364,352909
2175618,641480,11556,117360,19044,16570,82569,64916,50000,1407635,234790
1631173,484488,21207,20594,2985,75811,127105,273700,50000,1292201,200160
467314,137852,10323,129597,36545,151391,192966,143320,50000,115571,0
1784090,622631,45424,129874,38645,125420,48802,110132,50000,973075,107115
998692,80477,3973,144075,49504,112898,94495,142189,50000,707899,54079
2326775,204632,42144,90148,34342,143959,45821,208840,50000,2054677,428903
1864694,511328,13183,112603,35844,39634,175627,60744,50000,1189211,169263
831904,319333,43313,12188,27655,102966,152766,12753,50000,375827,6291
521365,111073,30171,41602,4066,145685,66539,241814,50000,440923,9546
966773,373364,11859,56004,17441,110192,56140,163381,50000,535011,19502
2195537,830637,45765,102292,18472,175614,154922,185713,50000,1249999,187499
2291381,838687,32967,130593,39505,81740,56148,155695,50000,1339517,214355
328116,120893,16338,113369,38042,106891,90294,185180,50000,100438,0
634370,231171,24910,149382,7031,130011,24266,194070,50000,285754,1787
2272643,765792,19797,39399,40786,84423,124103,26755,50000,1338794,214138
769385,225616,16562,81708,16456,17928,127098,12221,50000,406459,7822
1822138,106673,25025,47928,35411,121294,155935,148170,50000,1634026,302708
2267337,218319,1724,83679,23567,80835,82697,92688,50000,1905348,384104
2478531,240370,33947,2676,27848,171391,25506,206639,50000,2226831,480549
1879753,109475,21219,117653,14892,40364,125019,220728,50000,1789315,349294
1236399,112321,17251,28485,35705,194167,181215,97099,50000,930070,98514
476256,177124,48299,125588,24157,165823,142979,240513,50000,222375,0
1072376,302765,33745,66918,24544,52822,187891,283016,50000,892087,90917
1135987,180878,46475,91696,17562,156046,72486,159893,50000,846172,81734
670539,219719,32762,142382,35788,51485,147626,130365,50000,334291,4214
1779017,393037,13522,10138,6785,191258,48836,233061,50000,1374381,224814
800242,79819,20024,35413,4060,143585,58357,20842,50000,528230,18146
2033802,731305,41625,36267,32198,193760,128484,222240,50000,1254136,188740
1565712,263872,43032,102801,29708,91252,143003,18846,50000,1089956,139487
776249,228683,10715,38851,37492,114361,7462,8976,50000,326552,3827
2333631,354030,49934,141036,37118,198409,185164,272810,50000,1875781,375234
2271835,511219,37065,11237,33742,172488,82645,120177,50000,1650390,307617
1049687,352367,8038,109883,26348,80455,173210,284150,50000,722821,57064
2482791,260375,6732,73964,49656,191181,114740,276346,50000,2140692,454707
2133855,836552,45927,62303,47506,31222,173320,22119,50000,1174317,164795
1318965,98362,3550,105194,39624,28288,10714,291136,50000,1292182,200154
1474171,349235,23920,118188,8553,117321,159538,180313,50000,1035106,123031
987463,365962,19834,12617,30517,55811,63440,56635,50000,549024,22304
2338523,890960,38358,8650,26861,136145,20235,189550,50000,1453814,248644
2350510,308476,37853,91784,6329,120797,20066,262718,50000,2073694,434608
600679,60305,43442,113676,39305,41000,49783,20904,50000,360738,5536
1551133,470832,45033,139448,33680,11353,2523,264680,50000,1155532,159159
2077352,134385,48915,78825,137,72077,127261,256283,50000,2047125,426637
880270,193512,21514,131384,43306,135580,194202,179335,50000,527336,17967
867367,285124,41523,31908,6194,17916,141098,252811,50000,770558,66611
1354381,333298,49876,2990,47537,105585,25913,180711,50000,1045557,126167
2266328,262451,39989,102922,28160,2041,129972,185545,50000,2046287,426386
1111465,245039,41206,149276,21846,64371,129253,56689,50000,678827,48265
488483,181933,46598,130543,25790,99927,23783,292793,50000,339680,4484
2116962,563163,16257,137028,1906,22754,37381,156140,50000,1514507,266852
520146,157355,24980,68949,41679,186147,192478,62897,50000,103892,0
1630503,273422,47684,26611,13097,34014,3828,281097,50000,1562139,281141
357524,41461,22901,5278,14645,130745,193664,192563,50000,330858,4042
1161289,161970,17611,120562,11874,81038,61460,192841,50000,946296,101759
794026,187876,8824,11409,9016,51590,21003,165948,50000,658906,44281
363776,53866,6435,119493,41005,91362,88439,102198,50000,116682,0
430494,103184,22804,85192,15435,66667,128228,207603,50000,340422,4521
2299186,684530,45309,8221,1534,10409,32725,222085,50000,1811885,356065
2129732,653909,38910,52958,44534,174817,178,624,50000,1193047,170414
2117307,227906,8850,60578,26805,113688,174927,63853,50000,1711032,325809
527785,165012,29883,35561,1155,130623,57803,232354,50000,407670,7883
1640254,468195,23888,138127,37219,118533,156557,9429,50000,861496,84799
518449,28100,27997,62688,446,109571,100488,138004,50000,433644,9182
1638977,115720,12744,99806,10083,29761,51457,270705,50000,1617055,297616
486371,134329,31137,57085,6420,141694,184476,222375,50000,350354,5017
896275,165180,39068,8992,43904,147686,86844,99965,50000,619545,36409
1974502,199694,9075,148209,49723,67085,80981,165950,50000,1634815,302944
374591,24550,41656,103667,19478,126851,53188,35214,50000,126914,0
889104,94057,12616,118563,29197,147234,108164,106166,50000,568834,26266
1023720,394265,13617,122487,31336,36089,199595,65937,50000,469096,10954
1193681,363652,8906,131843,24652,50298,22065,44932,50000,627073,37914
516909,121316,36757,70898,49537,11889,58678,178675,50000,428700,8935
1584649,601436,49393,127492,41548,175265,56787,291316,50000,929616,98423
1458468,388956,29744,9407,48774,49305,165752,165942,50000,1107711,144813
1410152,428652,31381,43860,20045,12010,155104,241057,50000,1128022,150906
1233667,183727,43965,97810,41426,109542,112427,289775,50000,1084901,137970
2360932,604737,42299,110628,19525,139575,83524,173979,50000,1652744,308323
2250892,225577,9935,95262,41976,39363,126592,57771,50000,1866419,372425
1130096,216491,40182,116938,37965,112887,145618,248706,50000,884702,89440
2451340,151086,15878,128555,45017,130125,136904,124418,50000,2086852,438555
840073,105697,10870,52495,30859,124106,40912,177423,50000,665208,45541
1842173,140380,23070,24065,3733,132482,87718,190004,50000,1704586,323875
1877059,348612,49027,118330,48941,91513,60879,218166,50000,1486855,258556
2331742,804596,29020,126197,45801,105607,71506,193952,50000,1422512,239253
1324477,241421,48874,54751,8020,70571,174702,260923,50000,1209510,175353
1977512,674477,5400,47479,2927,19289,14029,223723,50000,1412462,236238
1723300,482135,25376,39417,29422,109821,88547,54326,50000,1092206,140162
1848328,422038,33374,54447,21917,41604,160632,38545,50000,1330240,211572
2276361,302555,29015,108015,25091,6329,28610,176899,50000,1990284,409585
547584,204114,42877,35797,30940,55253,23705,47671,50000,262027,601
1655802,114201,3109,103075,4583,50125,83054,256187,50000,1593113,290434
1142015,332462,16749,52330,43983,192523,152330,76573,50000,564038,25307
830971,222229,45436,92184,15640,72958,80554,57874,50000,481269,11563
2218067,453294,31869,29095,38851,22722,176923,30139,50000,1686112,318333
1806570,242283,40111,44412,9289,171756,67306,235577,50000,1564517,281855
1901348,381683,4041,40683,44129,34909,15734,228696,50000,1582680,287304
1104741,392702,9176,28419,12790,163859,66570,113782,50000,579928,28485
2273615,779550,40764,90057,30799,61826,47883,6267,50000,1308413,205024
699777,265553,41450,16872,48387,1312,21929,100251,50000,459353,10467
391449,61742,14528,96677,45247,40396,159051,220087,50000,332001,4100
1436995,266543,45933,36304,25297,95213,169236,189209,50000,1198779,172133
545920,30874,30029,32876,41336,184977,166473,40903,50000,276788,1339
1878662,713952,3644,56024,28242,139850,186880,72421,50000,966658,105831
385370,63696,4224,128908,15372,107929,112156,206626,50000,230314,0
1106636,211873,31749,123732,25874,59398,168288,216240,50000,883747,89249
698377,256815,28646,133454,27912,70528,196800,48074,50000,236387,0
2250564,527328,2026,11887,21471,82676,83678,157102,50000,1716329,327398
741830,184093,32201,62068,37847,30091,47151,199149,50000,609080,34316
1166004,130221,20,118900,42201,92528,187808,283444,50000,1015617,117185
1843786,413987,15554,31806,35643,181349,16130,114204,50000,1260758,190727
677244,251510,47954,57831,4797,26192,121054,229856,50000,564723,25444
754677,185311,10689,10857,31103,96126,113553,268246,50000,660214,44542
1066698,148581,5018,53428,34013,86481,190567,114728,50000,813940,75288
768895,46835,44523,99595,20640,81527,17111,38593,50000,553413,23182
1525393,255816,23455,109671,33020,65046,31432,127438,50000,1162732,161319
2339319,585781,45707,111381,37150,131034,65163,23933,50000,1493612,260583
1181515,76697,34221,122854,7997,113256,57626,195893,50000,1040824,124747
2459821,647984,10663,144550,47822,12598,100838,297886,50000,1865415,372124
1042330,243065,21640,35374,45259,151054,31556,125349,50000,664566,45413
530539,172002,10321,31215,11466,21291,29346,164086,50000,418971,8448
1992955,119798,22845,34849,35688,174308,153241,66410,50000,1667566,312770
516150,166869,26988,143277,177,106692,104969,22818,50000,98940,0
2095964,486907,45820,92879,43745,173928,160201,25297,50000,1319621,208386
739415,132861,22370,133686,15194,173374,95027,245660,50000,502329,12965
2222158,861939,31075,83708,20259,19684,27084,250625,50000,1468267,252980
896012,95014,33703,62833,22153,112658,38869,56431,50000,643487,41197
1885765,451572,8426,2121,30257,132788,77460,85597,50000,1313049,206414
974857,158261,49186,38423,16187,108763,80545,258267,50000,910675,94635
2255534,529193,29310,49050,49775,151553,172085,117467,50000,1572739,284321
382659,93099,8530,42225,17941,11747,129396,120544,50000,296720,2336
889872,72352,44987,143816,36822,128403,59161,194788,50000,698253,52150
2339237,658254,36293,30959,9531,125114,68105,121286,50000,1622957,299387
997108,271281,26078,113726,13217,9602,142699,280559,50000,845918,81683
1186320,378808,5978,18962,6785,65799,1171,102234,50000,774177,67335
1065864,87113,24191,118327,16767,76839,153270,125627,50000,866635,85827
2325838,358273,11875,134997,40884,106525,71632,247496,50000,1894529,380858
1478265,410275,10682,122332,43719,145931,178007,173906,50000,890595,90619
1463865,143247,12707,104824,40828,173232,151520,197237,50000,1161677,161003
1581604,454172,17089,43141,35355,41587,105834,41709,50000,1016146,117343
517598,36573,4847,85662,10556,108816,10575,146851,50000,377688,6384
1897824,317365,20728,59122,35155,88897,158766,272802,50000,1640814,304744
1400997,485233,10532,5730,4080,107131,43236,115972,50000,875326,87565
1866482,599144,45262,4401,46891,44054,81584,276659,50000,1443912,245673
1251452,344983,9316,21753,31432,147110,33633,68935,50000,734424,59384
1345687,477261,38102,119620,49375,143486,178794,17338,50000,561384,24776
682829,203649,23851,132292,29983,198938,55869,181925,50000,273742,1187
466750,108183,9791,77134,4284,117432,115598,205218,50000,324725,3736
370592,145606,37298,141367,8698,106514,135308,197719,50000,153423,0
484000,141908,238,81868,19180,79019,118040,174050,50000,286312,1815
572137,149029,25723,73910,34939,67705,41004,179294,50000,401570,7578
629653,121588,12805,64427,2076,113985,73001,63017,50000,353398,5169
1360178,497613,15072,11679,13594,37664,26907,73931,50000,838630,80226
487069,74764,44868,32635,12596,15530,30524,255684,50000,602095,32919
816510,43460,20628,61764,8462,102652,171174,145793,50000,716592,55818
1540894,183149,18488,106492,17759,102119,143859,242038,50000,1341900,215070
1888197,166786,10395,142321,40961,72205,167077,118653,50000,1544971,275991
958092,154873,20052,27402,30990,26831,23561,186732,50000,874779,87455
1347996,457048,4631,91901,29867,38840,169551,270887,50000,955857,103671
849792,236272,18546,39087,19115,58552,159027,161577,50000,626888,37877
1825326,199221,14939,40247,38154,51897,145885,14498,50000,1475243,255072
873607,284872,6474,82868,47048,164797,85004,61257,50000,311752,3087
914635,207143,37229,9369,30146,19751,121496,214748,50000,850202,82540
2310293,530097,36333,82312,30559,128811,10856,83171,50000,1608017,294905
2346836,414778,28193,140651,38323,180014,9142,40591,50000,1591853,290056
918629,323923,19317,32714,39235,145235,97040,26481,50000,373319,6165
1952457,315154,35876,32448,21148,39787,191124,213722,50000,1743517,335555
1421248,117890,33232,51557,29487,85037,140543,215781,50000,1336289,213386
1633640,254774,10226,67564,25230,54499,276,174200,50000,1365998,222299
763953,229471,43854,13367,34954,100784,8603,110207,50000,489437,11971
2107561,590440,27361,107803,6500,73780,98123,42992,50000,1349390,217317
294036,34051,35688,18334,7036,135816,72007,203105,50000,287591,1879
1447017,128964,49962,55233,31502,62232,123374,173790,50000,1342837,215351
2490019,700449,5909,30289,3325,22574,137662,147237,50000,1836527,363458
619349,177587,22362,58089,34795,20806,176209,296855,50000,597288,31957
935503,166662,6629,20432,15996,186639,153619,120552,50000,622954,37090
672641,232048,16782,109150,20105,90404,40139,51064,50000,238779,0
2173217,852709,1075,88034,15247,6521,152214,147155,50000,1308935,205180
587283,71634,43779,3514,2774,112401,145107,137024,50000,527762,18052
1828232,460667,7598,135383,6154,76198,170120,12110,50000,1119537,148361
833117,43214,31633,5412,41549,88013,17750,183637,50000,820198,76539
641180,192077,18246,10269,5865,91831,128741,91299,50000,400682,7534
1752086,341654,27855,145745,38709,29265,62079,68073,50000,1242640,185292
883718,103964,21922,50394,46550,163463,39944,200474,50000,691742,50848
2359458,739165,13771,77199,25264,70488,174183,245493,50000,1656605,309481
828110,276362,18950,123859,36756,158227,68019,247360,50000,449215,9960
274042,24364,11432,20328,17886,100212,164764,249198,50000,321881,3594
658302,42360,27325,27694,7308,147565,103709,137171,50000,547870,22074
997410,166495,26560,50971,37458,113276,75866,96956,50000,702725,53045
399395,107475,38027,101268,9777,104919,17424,11019,50000,75001,0
1185783,388577,39258,140540,19395,194956,71043,274971,50000,706543,53808
1607719,387656,20537,127599,13254,133706,148674,76731,50000,992771,111054
2409932,610344,28343,32968,6161,141920,169338,162287,50000,1759168,340250
2015520,665021,16125,50623,35046,60927,199404,4543,50000,1174570,164871
2198010,516741,657,112855,24152,155117,170285,105213,50000,1445014,246004
1742017,459725,20438,141964,8651,173158,125931,116402,50000,1045358,126107
1991888,459480,26086,127197,33590,53525,163346,39126,50000,1333307,212492
1991599,713311,31184,116854,11527,142717,149248,79980,50000,1068353,133005
372019,49266,9577,5229,39788,111310,97351,19905,50000,145907,0
621852,88550,31085,137076,6143,15945,115777,273445,50000,628667,38233
2015317,191024,30912,117305,45990,69477,109619,13766,50000,1586198,288359
429001,144493,35382,68883,21733,188544,111863,145991,50000,136720,0
934494,181405,47397,7281,24990,134222,45794,21544,50000,605536,33607
843731,144921,771,17920,49905,40233,125136,151365,50000,692887,51077
910187,358133,31730,121878,30051,111145,14590,188221,50000,458930,10446
346143,129589,18958,149024,5551,67420,56235,269646,50000,233162,0
394771,154037,47538,43704,13648,169279,177906,30422,50000,42062,0
1270332,126785,40701,63696,40905,179140,122470,6064,50000,856570,83814
1805289,653402,39125,109237,6073,145938,89118,69,50000,879832,88466
1258923,207783,21099,48577,29996,155826,83209,109613,50000,897452,91990
2070908,112719,18381,119390,514,197330,161865,263911,50000,1873246,374474
910673,170254,34850,45493,28364,47834,154805,80916,50000,684493,49398
1967534,449028,27004,7332,25505,15887,67174,133038,50000,1579823,286447
361362,31755,8963,127844,26548,124626,81331,203064,50000,212615,0
1589527,378604,49055,110982,21526,92468,24889,28130,50000,1013131,116439
2286503,770122,39131,18403,25520,39734,61380,113442,50000,1535296,273089
426298,77662,1163,31488,23003,113406,60601,247097,50000,378998,6449
723288,125436,6941,24541,28318,133142,110110,91291,50000,460082,10504
2138007,360433,22792,115857,45529,143011,52493,116173,50000,1562141,281142
2009814,749827,4882,95657,33556,59025,30432,209359,50000,1235989,183296
1989122,133401,45391,92966,29879,198444,161500,75548,50000,1605370,294111
1025292,210981,16285,105802,12682,79703,173138,200363,50000,782771,69054
2160217,308068,5056,136760,42626,160198,131273,256934,50000,1724554,329866
1850741,671508,3693,91621,46449,9451,43606,270650,50000,1256054,189316
439073,36714,22060,82116,47110,197638,73640,275461,50000,323015,3650
609281,118203,27926,100812,29507,35524,198791,222255,50000,525415,17583
469707,90364,26955,10768,23516,37224,43223,71439,50000,356228,5311
1335610,482072,772,28358,14600,83027,32325,209388,50000,887712,90042
421389,52851,723,8459,17864,2260,10143,57212,50000,347889,4894
1309165,360954,17602,17622,28994,196499,148522,142750,50000,815447,75589
1355797,131569,29302,86454,31440,188792,68253,290297,50000,1187140,168642
1075963,413053,49857,37917,6665,83414,153774,75410,50000,610180,34536
826515,212873,13354,11412,47916,60717,24825,102588,50000,559538,24407
343078,92353,29651,71995,3568,162336,82508,63695,50000,56171,0
2300053,464198,42241,106231,24598,65294,30096,93355,50000,1725327,330098
1077679,182988,37305,75639,20497,111649,75604,21268,50000,695478,51595
1009401,125606,46375,72611,39869,164430,185167,25045,50000,628304,38160
2235681,584397,49762,36377,40068,32644,109371,136631,50000,1678587,316076
2310046,887280,32698,52346,25839,134490,113933,244779,50000,1437567,243770
2069231,364033,9923,35653,39257,10559,155528,82581,50000,1662232,311169
1176921,422638,9844,126716,39632,183929,69311,62147,50000,425996,8799
1799317,183659,46755,101972,11089,184763,135866,256742,50000,1571330,283899
318207,120168,7975,90696,30927,118555,88773,186190,50000,102025,0
1138698,196619,25477,113019,25170,137480,108407,109950,50000,751836,62867
2458578,449685,46477,146988,49644,116984,92542,225833,50000,1917586,387776
1809657,383637,11388,79932,3028,89763,154799,182557,50000,1397241,231672
2481946,748022,30192,41215,45603,86280,20433,84436,50000,1625453,300136
1993967,601936,8036,125550,23169,40698,2692,87832,50000,1248481,187044
795726,173353,13088,43026,37528,89834,145397,231579,50000,646651,41830
2391008,557352,40082,112391,2582,80172,62,12274,50000,1640866,304759
692244,41883,40648,7877,46388,122294,152347,5025,50000,469474,10973
1086309,170011,23506,66181,33471,56781,181546,222254,50000,955624,103624
740999,126789,2399,123591,36811,106254,78343,142539,50000,442491,9624
867762,213082,21339,105559,42058,131569,188833,5121,50000,351953,5097
2256549,553768,32091,108091,38531,46504,79596,188883,50000,1680628,316688
2038053,608287,28539,44211,36681,169537,127183,119988,50000,1277863,195859
657407,197852,17758,9128,32268,55870,87464,295481,50000,625527,37605
1121158,148355,39052,96602,22940,76793,115789,210984,50000,976503,107800
1553306,496383,31913,102867,32916,173674,43187,72966,50000,802344,72968
